id,category,passed,top_source,top_id,top_score,scaffolding_leak,latency_s,answer,error
offer_direct_answer_kfc,offer_direct_answer,True,offer,8119,1.1126725236574808,False,0.998,"Here's what I found:
**Zinger & Strips meal with 39% off @KFC branches** — 189 EGP (was 310 EGP) — 39% off — valid until 2028-07-01",
offer_direct_answer_mcdonalds,offer_direct_answer,True,offer,6737,0.9288484621047974,False,0.143,"Here's what I found:
**Mouthwatering burgers fries & ice cream with up to 57% off @McDonald's branches** — 79 EGP (was 120 EGP) — 57% off — valid until 2028-07-01",
offer_direct_answer_asianwok,offer_direct_answer,True,offer,9209,1.0467509746551513,False,0.133,"Here's what I found:
**Delicious Asian meals with 36% off @Asian Wok** — 175 EGP (was 275 EGP) — 36% off — valid until 2028-07-01",
offer_direct_answer_zero_discount,offer_direct_answer_exact_zero_discount,False,offer,9121,1.2060188836521573,False,44.715,"The Night Stay feels different with a Nile view that lingers @Hilton Cairo Zamalek Residences offers for 7240 EGP and is valid until 2028-07-01. There's no discount mentioned for this offer; it's the full price.

📋 Details: **Day use escape with breathtaking Nile views & pool access @Hilton Cairo Zamalek Residences** — 1680 EGP — valid until 2028-07-01",
faq_direct_answer_register,faq_direct_answer,True,faq,faq_1,1.30045428276062,False,0.234,"To create a new account: 1) Tap 'Create New Account'. 2) Add your phone number. 3) You'll receive a verification code via SMS. 4) Enter the code in the app to complete registration. Then complete your data through 'My Account', click the settings icon, and select 'Edit profile'. You now have an account and can enjoy all available offers.",
faq_direct_answer_purchase,faq_direct_answer,True,faq,faq_2,1.3232141971588134,False,0.139,"1) Choose the offer that suits you. 2) Select the number of coupons and click 'Add to Cart'. 3) Click 'Go to Cart' to review your order details. 4) Click 'Proceed to Checkout' and choose your preferred payment method. 5) After completing payment, find your coupon number under 'My Orders' > 'Order Details' > 'Show Offer Code'. You can use the coupon at the location or request delivery if available for that offer and your area is within the delivery zone; an additional delivery fee set by the merchant may apply.",
faq_direct_answer_payment_methods,faq_direct_answer,True,faq,faq_3,1.269751751422882,False,0.11,"Waffarha supports: Bank cards (Visa/MasterCard), Bank Installments (major banks), Apple Pay, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), payment via reference number (Fawry, Daman, Basata, Geidea, O-pay), ValU, Suhoola, Forsa, Aman, Contact, Premium Card, Mogo, TRU, and Klivvr.",
faq_direct_answer_use_coupon,faq_direct_answer,False,,,,False,0.102,I don't have that information in my current data. Please contact Waffarha support for help with this.,
faq_direct_answer_bill_payment,faq_direct_answer,True,faq,faq_5,1.1605417898723058,False,0.101,"Go to the 'Bill Payment' section in the app. You'll see services like balance recharge, mobile & landline bills, utility bills, and monthly installments. Select the service, enter the number you want to top-up or pay for, click 'Proceed to Payment', then choose the payment method that suits you.",
faq_direct_answer_bill_payment_methods,faq_direct_answer,True,faq,faq_6,1.151359991232554,False,0.105,"Bank cards (Visa/MasterCard), Bank Installments, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), TRU, Suhoola, Forsa, Premium Card, and Contact Installments. Note: available payment methods for bills may change, so check the checkout page for the current options.",
faq_direct_answer_bill_status,faq_direct_answer,True,faq,faq_7,1.1064897911889213,False,0.11,"Click on 'Profile', select 'Payments', then select the bill you want to know the status of — full details will be shown.",
faq_direct_answer_refund,faq_direct_answer,True,faq,faq_8,1.0890002965927124,False,0.116,I don't have that information in my current data. Please contact Waffarha support for help with this.,
faq_direct_answer_card_removal,faq_direct_answer,True,faq,faq_9,1.1032148735863823,False,0.108,"Make sure the app is updated to the latest version. While purchasing, use the same bank card and activate the 'Save Card' option before completing payment. Next time you pay with the same saved card, you'll only need to enter the CVV and the OTP sent by your bank via SMS — no need to re-enter card details. You can add multiple cards the same way.",
faq_direct_answer_gift_voucher,faq_direct_answer,True,faq,faq_10,1.1865748047828675,False,0.093,1) Select the gift voucher from the available list of brands. 2) Confirm the amount and value of vouchers you want to purchase. 3) Select whether you'll use it yourself or send it as a gift. 4) Complete the purchase with your preferred payment method and confirm the order. 5) Go to the 'Gift Vouchers' section to review your voucher's details.,
faq_direct_answer_cashback,faq_direct_answer,True,faq,faq_11,1.1256998936335245,False,0.082,"Cashback balance is valid for 30 days from the time it's added. It's added after a coupon is activated with the merchant (or after a bill payment). You can use either cashback OR a discount code, not both on the same order. Track your cashback (time added, expiry date) under 'My Wallet' inside 'My Account'. Cashback can only be used to purchase coupons — it cannot be used for bill payments and is not redeemable as cash.",
