id,category,passed,top_source,top_id,top_score,scaffolding_leak,latency_s,answer,error
offer_direct_answer_kfc,offer_direct_answer,True,offer,8119,1.1126725236574808,False,1.001,"Here's what I found:
**Zinger & Strips meal with 39% off @KFC branches** — 189 EGP (was 310 EGP) — 39% off — valid until 2028-07-01",
offer_direct_answer_mcdonalds,offer_direct_answer,True,offer,6737,0.9288484621047974,False,0.195,"Here's what I found:
**Mouthwatering burgers fries & ice cream with up to 57% off @McDonald's branches** — 79 EGP (was 120 EGP) — 57% off — valid until 2028-07-01",
offer_direct_answer_asianwok,offer_direct_answer,True,offer,9209,1.0467509746551513,False,0.165,"Here's what I found:
**Delicious Asian meals with 36% off @Asian Wok** — 175 EGP (was 275 EGP) — 36% off — valid until 2028-07-01",
offer_direct_answer_zero_discount,offer_direct_answer_exact_zero_discount,False,offer,9121,1.2060188836521573,False,16.69,"The Night Stay feels different with a Nile view that lingers @Hilton Cairo Zamalek Residences offers a price of 7240 EGP and is valid until 2028-07-01. There is no discount mentioned for this offer.

📋 Details: **Day use escape with breathtaking Nile views & pool access @Hilton Cairo Zamalek Residences** — 1680 EGP — valid until 2028-07-01",
faq_direct_answer_register,faq_direct_answer,True,faq,faq_1,1.30045428276062,False,0.102,"To create a new account: 1) Tap 'Create New Account'. 2) Add your phone number. 3) You'll receive a verification code via SMS. 4) Enter the code in the app to complete registration. Then complete your data through 'My Account', click the settings icon, and select 'Edit profile'. You now have an account and can enjoy all available offers.",
faq_direct_answer_purchase,faq_direct_answer,True,faq,faq_2,1.3232141971588134,False,0.118,"1) Choose the offer that suits you. 2) Select the number of coupons and click 'Add to Cart'. 3) Click 'Go to Cart' to review your order details. 4) Click 'Proceed to Checkout' and choose your preferred payment method. 5) After completing payment, find your coupon number under 'My Orders' > 'Order Details' > 'Show Offer Code'. You can use the coupon at the location or request delivery if available for that offer and your area is within the delivery zone; an additional delivery fee set by the merchant may apply.",
faq_direct_answer_payment_methods,faq_direct_answer,True,faq,faq_3,1.269751751422882,False,0.113,"Waffarha supports: Bank cards (Visa/MasterCard), Bank Installments (major banks), Apple Pay, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), payment via reference number (Fawry, Daman, Basata, Geidea, O-pay), ValU, Suhoola, Forsa, Aman, Contact, Premium Card, Mogo, TRU, and Klivvr.",
faq_direct_answer_use_coupon,faq_direct_answer,False,,,,False,0.119,I don't have that information in my current data. Please contact Waffarha support for help with this.,
faq_direct_answer_bill_payment,faq_direct_answer,True,faq,faq_5,1.1605417898723058,False,0.166,"Go to the 'Bill Payment' section in the app. You'll see services like balance recharge, mobile & landline bills, utility bills, and monthly installments. Select the service, enter the number you want to top-up or pay for, click 'Proceed to Payment', then choose the payment method that suits you.",
faq_direct_answer_bill_payment_methods,faq_direct_answer,True,faq,faq_6,1.151359991232554,False,0.119,"Bank cards (Visa/MasterCard), Bank Installments, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), TRU, Suhoola, Forsa, Premium Card, and Contact Installments. Note: available payment methods for bills may change, so check the checkout page for the current options.",
faq_direct_answer_bill_status,faq_direct_answer,True,faq,faq_7,1.1064897911889213,False,0.11,"Click on 'Profile', select 'Payments', then select the bill you want to know the status of — full details will be shown.",
faq_direct_answer_refund,faq_direct_answer,True,faq,faq_8,1.0890002965927124,False,0.115,"Open 'My Orders', select the coupon you want to refund, click 'Refund Coupon', then choose the refund method that suits you from the available options. Note: refunds are available anytime before the offer's expiration date, which you can find under 'My Account'.",
faq_direct_answer_card_removal,faq_direct_answer,True,faq,faq_9,1.1032148735863823,False,0.096,"Make sure the app is updated to the latest version. While purchasing, use the same bank card and activate the 'Save Card' option before completing payment. Next time you pay with the same saved card, you'll only need to enter the CVV and the OTP sent by your bank via SMS — no need to re-enter card details. You can add multiple cards the same way.",
faq_direct_answer_gift_voucher,faq_direct_answer,True,faq,faq_10,1.1865748047828675,False,0.109,1) Select the gift voucher from the available list of brands. 2) Confirm the amount and value of vouchers you want to purchase. 3) Select whether you'll use it yourself or send it as a gift. 4) Complete the purchase with your preferred payment method and confirm the order. 5) Go to the 'Gift Vouchers' section to review your voucher's details.,
faq_direct_answer_cashback,faq_direct_answer,True,faq,faq_11,1.1256998936335245,False,0.116,"Cashback balance is valid for 30 days from the time it's added. It's added after a coupon is activated with the merchant (or after a bill payment). You can use either cashback OR a discount code, not both on the same order. Track your cashback (time added, expiry date) under 'My Wallet' inside 'My Account'. Cashback can only be used to purchase coupons — it cannot be used for bill payments and is not redeemable as cash.",
faq_direct_answer_about,faq_direct_answer,False,offer,7823,0.9611035664876302,False,4.508,"Waffarha is not mentioned in the provided context. The context only contains information about offers from different merchants including @Wafflicious and Konafa Bilkeshta. For details on their discount offerings, you should contact Waffarha support directly.

📋 Details: **Up to 30% off @Wafflicious** — 124 EGP (was 175 EGP) — 30% off — valid until 2028-07-01 | **Up to 31% off @Wafflicious** — 139 EGP (was 199 EGP) — 31% off — valid until 2028-07-01 | **Oriental & Western with up to 26% off @Konafa Bilkeshta branches** — 120 EGP (was 160 EGP) — 26% off — valid until 2028-07-01",
faq_direct_answer_privacy,faq_direct_answer,True,faq,faq_13_privacy,1.2067164254188538,False,0.14,"Waffarha collects Personally Identifiable Information (PII) such as name, address, email, phone, date of birth, and payment details when you create an account, order products, post reviews, enter contests, or sign up for offers — used to deliver services, personalize the app, and communicate with you. It also collects Non-PII (browser type, IP address, referring URLs) automatically via cookies and similar technologies, used to operate and analyze the platform. Waffarha may update this policy at any time; material changes are communicated via email or a notice on the platform.",
faq_arabic_register,faq_direct_answer,True,faq,faq_1,1.302708053588867,False,0.102,خطوات إنشاء حساب جديد على ابلكيشن وفرها: 1) اضغط على 'إنشاء حساب'. 2) سجل رقم الموبايل. 3) هيوصلك كود تفعيل على نفس رقم الموبايل في رسالة نصية. 4) اكتب الكود في الابلكيشن وهيتم تفعيل الحساب بنجاح. استكمل البيانات من خلال خانة 'حسابي' واضغط على علامة الاعدادات ثم 'تعديل البيانات'.,
faq_arabic_privacy,faq_direct_answer,True,faq,faq_13_privacy,0.9308242559432983,False,0.101,وفرها بتجمع معلومات تعريف شخصية (PII) زي الاسم والعنوان والإيميل ورقم الموبايل وتاريخ الميلاد وبيانات الدفع عند إنشاء حساب أو طلب منتجات أو كتابة تقييمات أو الاشتراك في عروض، وده بيُستخدم لتقديم الخدمة وتخصيص التطبيق والتواصل معاك. كمان بتجمع معلومات غير تعريفية (نوع المتصفح، عنوان IP، الروابط المحيلة) تلقائيًا عبر الكوكيز، وده بيُستخدم لتشغيل وتحليل المنصة. وفرها ممكن تحدث السياسة دي في أي وقت، وأي تغييرات جوهرية هيتم إبلاغك بيها عن طريق الإيميل أو إشعار على المنصة.,
faq_arabic_refund,faq_direct_answer,False,offer,8133,0.8075613379478455,False,4.791,"لم يتم ذكر طريقة استرداد الأموال في العروض المذكورة. يرجى التواصل مع مكتب خدمة العملاء لشركة كوفتا للحصول على المساعدة.

📋 التفاصيل: **كفتة وحواوشي كومبو بخصم 31% في فروع كوفتا** — ⁧⁦140 جنيه⁩ (كانت ⁦200 جنيه⁩)⁩ — ⁧خصم ⁦31%⁩⁩ — ⁧صالح حتى ⁦2028-07-01⁩⁩",
faq_out_of_kb_password_reset,faq_not_in_kb,False,faq,faq_1,0.9508307059605916,False,0.091,"To create a new account: 1) Tap 'Create New Account'. 2) Add your phone number. 3) You'll receive a verification code via SMS. 4) Enter the code in the app to complete registration. Then complete your data through 'My Account', click the settings icon, and select 'Edit profile'. You now have an account and can enjoy all available offers.",
faq_out_of_kb_delete_account,faq_not_in_kb,True,faq,faq_7,1.108522907892863,False,0.084,اضغط على خانة 'حسابي'، اختار خانة 'مدفوعاتك'، اختار الفاتورة اللي محتاج تعرف حالتها وهيظهرلك التفاصيل بالكامل.,
same_merchant_disambiguation_hilton_dayuse,same_merchant_multi_offer_disambiguation,True,offer,9131,1.1081633104218378,False,4.039,"The Day use escape with breathtaking Nile views & pool access @Hilton Cairo Zamalek Residences is available for 1680 EGP and is valid until 2028-07-01.

📋 Details: **Night stay feels different with a Nile view that lingers @Hilton Cairo Zamalek Residences** — 7240 EGP — valid until 2028-07-01",
same_merchant_disambiguation_hilton_nightstay,same_merchant_multi_offer_disambiguation,True,offer,9121,1.2496037244796754,False,3.657,"The night stay offer at Hilton Cairo Zamalek Residences costs 7240 EGP and is valid until July 1, 2028.

📋 Details: **Day use escape with breathtaking Nile views & pool access @Hilton Cairo Zamalek Residences** — 1680 EGP — valid until 2028-07-01",
same_merchant_disambiguation_yaya_kahk,same_merchant_multi_offer_disambiguation,True,offer,9030,1.0539062725173103,False,4.511,"The Yaya Sweets Kahk offer is **26% off @Yaya Sweets Kahk** — 210 EGP (was 280 EGP) — 26% off — valid until 2028-07-01.

📋 Details: **Up to 26% off @Yaya Sweets Kahk** — 199 EGP (was 270 EGP) — 26% off — valid until 2028-07-01 | **Sweeten your Ramadan with Oriental desserts with 26% off @Yaya Sweets** — 315 EGP (was 420 EGP) — 26% off — valid until 2028-07-01",
multi_item_comparison_kfc_mcdonalds,multi_item_comparison,True,offer,8119,0.9421241641044616,False,8.13,"Both offers are hot deals with limited time availability until July 1, 2028. Here’s a comparison:

**KFC:**
- **Zinger & Strips meal:** 189 EGP (was 310 EGP) — 39% off

**McDonald's:**
- **Mouthwatering burgers fries & ice cream:** 79 EGP (was 120 EGP) — 57% off

KFC has a higher discount percentage at 39%, compared to McDonald's at 57%.",
multi_item_comparison_burger_places,multi_item_comparison,True,offer,9230,1.0566396845711603,False,5.742,"The Retro Burger offer is cheaper at 345 EGP compared to the Beaks Chicken Joint offer at 155 EGP.

📋 Details: **Beef & chicken burger sandwiches with an amazing taste with 31% off @Retro Burger branches** — 345 EGP (was 500 EGP) — 31% off — valid until 2028-07-01 | **Nashville sandwiches & crispy fried chicken meals with up to 43% off @Beaks Chicken Joint** — 155 EGP (was 270 EGP) — 43% off — valid until 2028-07-01",
stock_query_kfc,stock_query,True,offer,8119,0.9350061774253845,False,0.121,"Here's what I found:
**Zinger & Strips meal with 39% off @KFC branches** — 189 EGP (was 310 EGP) — 39% off — valid until 2028-07-01",
