id,category,passed,top_source,top_id,top_score,scaffolding_leak,latency_s,answer,error
offer_direct_answer_kfc,offer_direct_answer,True,offer,8119,1.1127,[],0.468,"Here's what I found:
**Zinger & Strips meal with 39% off @KFC branches** — 189 EGP — was 310 EGP — 39% discount — offer runs through 2028-07-01",
offer_direct_answer_mcdonalds,offer_direct_answer,True,offer,6737,0.9288,[],0.432,"Found this one for you:
**Mouthwatering burgers fries & ice cream with up to 57% off @McDonald's branches** — now just 79 EGP instead of 120 EGP — save 57% — offer runs through 2028-07-01",
offer_direct_answer_asianwok,offer_direct_answer,True,offer,9209,1.0468,[],0.437,"Found this one for you:
**Delicious Asian meals with 36% off @Asian Wok** — 175 EGP — was 275 EGP — save 36% — available till 2028-07-01",
offer_direct_answer_zero_discount,offer_direct_answer_exact_zero_discount,False,offer,9121,1.206,[],13.572,"The Night Stay feels different with a Nile view that lingers @Hilton Cairo Zamalek Residences offers a price of 7240 EGP and is valid until 2028-07-01. There's no discount mentioned for this offer; it includes the full price.

📋 Details: **Day use escape with breathtaking Nile views & pool access @Hilton Cairo Zamalek Residences** — 1680 EGP — valid until 2028-07-01",
faq_direct_answer_register,faq_direct_answer,True,faq,faq_1,1.3005,[],0.424,"To create a new account: 1) Tap 'Create New Account'. 2) Add your phone number. 3) You'll receive a verification code via SMS. 4) Enter the code in the app to complete registration. Then complete your data through 'My Account', click the settings icon, and select 'Edit profile'. You now have an account and can enjoy all available offers.",
faq_direct_answer_purchase,faq_direct_answer,True,faq,faq_2,1.3232,[],0.425,"1) Choose the offer that suits you. 2) Select the number of coupons and click 'Add to Cart'. 3) Click 'Go to Cart' to review your order details. 4) Click 'Proceed to Checkout' and choose your preferred payment method. 5) After completing payment, find your coupon number under 'My Orders' > 'Order Details' > 'Show Offer Code'. You can use the coupon at the location or request delivery if available for that offer and your area is within the delivery zone; an additional delivery fee set by the merchant may apply.",
faq_direct_answer_payment_methods,faq_direct_answer,True,faq,faq_3,1.2698,[],0.396,"Waffarha supports: Bank cards (Visa/MasterCard), Bank Installments (major banks), Apple Pay, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), payment via reference number (Fawry, Daman, Basata, Geidea, O-pay), ValU, Suhoola, Forsa, Aman, Contact, Premium Card, Mogo, TRU, and Klivvr.",
faq_direct_answer_use_coupon,faq_direct_answer,False,,,,[],0.265,I don't have that information in my current data. Please contact Waffarha support for help with this.,
faq_direct_answer_bill_payment,faq_direct_answer,True,faq,faq_5,1.1605,[],0.474,"Go to the 'Bill Payment' section in the app. You'll see services like balance recharge, mobile & landline bills, utility bills, and monthly installments. Select the service, enter the number you want to top-up or pay for, click 'Proceed to Payment', then choose the payment method that suits you.",
faq_direct_answer_bill_payment_methods,faq_direct_answer,True,faq,faq_6,1.1514,[],0.417,"Bank cards (Visa/MasterCard), Bank Installments, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), TRU, Suhoola, Forsa, Premium Card, and Contact Installments. Note: available payment methods for bills may change, so check the checkout page for the current options.",
